County,TotalPop,White,White_Percent,Black,Black_Percent,NativeAm,Native_Percent,Asian,Asian_Percent,Hawaiian,Hawaiian_Percent,Other,Other_Percent,Mix,Mix_Percent,Hispanic,Hispanic_Percent,Abbott-R,Abbott_Percent,Davis-D,Davis_Percent,Glass-L,Glass_Percent,Parmer-G,Pavitt-I,Total,Total,TurnOut%
Burleson,17187,11696,68.0514342235411,2064,12.0090766276837,48,0.410396716826265,25,0.145458776982603,3,0.0174550532379124,7,0.0407284575551289,178,1.03566649211613,3166,18.4208995170769,3199,18.6129051026939,959,5.57979868505266,42,0.244370745330773,8,0,4208,11050,38.08%
Burnet,42750,32530,76.093567251462,700,1.6374269005848,169,0.519520442668306,198,0.463157894736842,13,0.0304093567251462,44,0.102923976608187,444,1.03859649122807,8652,20.2385964912281,8995,21.0409356725146,2571,6.0140350877193,253,0.591812865497076,59,5,11883,27384,43.39%
Caldwell,38066,16841,44.241580412967,2456,6.45195187306258,90,0.534410070660887,344,0.903693584826354,8,0.0210161298796827,54,0.141858876687858,351,0.922082698471077,17922,47.0813849629591,5037,13.2322807754952,3578,9.39946408868807,212,0.55692744181159,75,4,8906,21175,42.06%
Calhoun,21381,9794,45.807024928675,519,2.42738880314298,36,0.367571982846641,943,4.4104578831673,4,0.018708198868154,15,0.0701557457555774,148,0.692203358121697,9922,46.4056872924559,2737,12.8010850755344,1326,6.20176792479304,65,0.304008231607502,27,0,4155,12700,32.72%
Callahan,13544,12065,89.0800354400473,135,0.996751329001772,61,0.505594695399917,56,0.413467217956291,7,0.0516834022445363,10,0.073833431777909,185,1.36591848789132,1025,7.56792675723568,2636,19.4624926166568,285,2.10425280567041,40,0.295333727111636,8,0,2969,8838,33.59%
Cameron,406220,43427,10.6905125301561,1192,0.293437053813205,385,0.886545236834228,2486,0.611983654177539,76,0.0187090739008419,191,0.0470188567771158,716,0.176259169907932,357747,88.067303431638,16556,4.0756240460834,21859,5.38107429471715,725,0.178474718133031,244,23,39407,186563,21.12%
Camp,12401,7298,58.8500927344569,2133,17.2002257882429,38,0.520690600164429,59,0.475768083219095,17,0.137085718893638,4,0.0322554632690912,204,1.64502862672365,2648,21.3531166841384,1862,15.014918151762,718,5.78985565680187,22,0.177405047980002,9,2,2613,7218,36.2%
Carson,6182,5473,88.5312196700097,35,0.566159818828858,56,1.02320482367988,19,0.307343901649951,0,0,0,0,74,1.19702361695244,525,8.49239728243287,1634,26.4315755418958,193,3.12196700097056,19,0.307343901649951,11,0,1857,4248,43.71%
Cass,30464,23522,77.2124474789916,5299,17.3943014705882,133,0.565428109854604,89,0.292148109243697,4,0.0131302521008403,15,0.0492384453781513,349,1.14561449579832,1053,3.45653886554622,5185,17.0200892857143,1687,5.53768382352941,57,0.187106092436975,18,0,6947,19251,36.09%
Castro,8062,3004,37.2612255023567,149,1.84817663110891,29,0.965379494007989,30,0.37211610022327,0,0,5,0.0620193500372116,17,0.210865790126519,4828,59.8858843959315,917,11.3743487968246,217,2.69163979161498,13,0.16125031009675,4,1,1152,3963,29.07%
Chambers,35096,24767,70.5692956462275,2817,8.02655573284705,134,0.541042516251464,326,0.928880784134944,13,0.0370412582630499,25,0.0712331889674037,379,1.07989514474584,6635,18.9052883519489,6778,19.3127421928425,1490,4.24549806245726,114,0.324823341691361,32,1,8415,25104,33.52%
Cherokee,50845,31892,62.7239649916413,7401,14.5560035401711,125,0.391947823905682,221,0.434654341626512,6,0.0118005703609008,36,0.0708034221654047,665,1.30789654833317,10499,20.6490313698495,7709,15.1617661520307,1862,3.66211033533287,94,0.184875602320779,23,0,9688,26944,35.96%
Childress,7041,4327,61.4543388723193,684,9.71452918619514,28,0.647099607118096,47,0.667518818349666,2,0.0284050560999858,9,0.127822752449936,59,0.837949154949581,1885,26.7717653742366,944,13.4071864791933,134,1.90313875869905,11,0.156227808549922,6,0,1095,3569,30.68%
Clay,10752,9941,92.4572172619048,53,0.492931547619048,115,1.15682526908762,28,0.260416666666667,1,0.00930059523809524,5,0.0465029761904762,142,1.32068452380952,467,4.34337797619048,2436,22.65625,363,3.37611607142857,31,0.288318452380952,12,0,2842,7610,37.35%
Cochran,3127,1329,42.5007994883275,110,3.51774864086984,12,0.90293453724605,3,0.0959385992964503,3,0.0959385992964503,0,0,16,0.511672529581068,1654,52.8941477454429,423,13.5273425007995,65,2.07866965142309,6,0.191877198592901,0,1,495,1772,27.93%
Coke,3320,2651,79.8493975903614,7,0.210843373493976,19,0.716710675216899,5,0.150602409638554,1,0.0301204819277108,0,0,35,1.05421686746988,602,18.1325301204819,696,20.9638554216867,67,2.01807228915663,5,0.150602409638554,2,0,770,2135,36.07%
Coleman,8895,7123,80.0786958965711,186,2.09106239460371,40,0.561561139969114,32,0.359752670039348,1,0.0112422709387296,4,0.0449690837549185,90,1.01180438448567,1419,15.9527824620573,1974,22.1922428330523,234,2.63069139966273,27,0.3035413153457,5,0,2240,5902,37.95%
